region,address,tel,email,long,lat,website,url
Alderney,"3 Rosedale Avenue, La Route de la Haule, St Lawrence, JE3 1LB",07399 595954,cat77jersey@gmail.com,-2.1541177,49.1969757,www.poundpuppy.org/cats.php,https://www.catchat.org/index.php/cat-rescue-centres-channel-islands
Avon / Bristol,"PO Box 530, Weston-super-Mare, North Somerset, BS23 8TX. General enquiries, ferals & neutering",01278 782671,info@bridgeanimalrescue.com,-2.9859988,51.3535315,www.rspcanorthsomerset.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-bristol-avon
Bedfordshire,"PO Box 4586, Milton Keynes, Bucks, MK12 6ZS",07841 676151,furryfriendsfundraising@yahoo.com,-0.7594171,52.0406224,www.tacocatsrescueluton.co.uk,https://www.catchat.org/index.php/cat-rescue-centres-bedfordshire
Berkshire,"TVAW, PO Box 3139, Reading, RG1 9FQ.",01189 722082,newbury@cats.org.uk,-0.9634222000000001,51.45326439999999,www.tvaw.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-berkshire
Birmingham,"South Birmingham Cats Protection, PO Box 15859, Birmingham, B32 9GH",01564 823 288,allfortheloveofpaws@hotmail.com,-1.8378857,52.52459529999999,www.wythallanimalsanctuary.org,https://www.catchat.org/index.php/cat-rescue-centres-west-midlands
Borders (Scotland),"Arthurshiel Farm, Melrose, Scottish Borders, TD6 0DL.",,arthurshiel@btinternet.com,-2.6503219,55.55608059999999,www.scottishspca.org/rehome/our-centres/edinburgh-and-lothians,https://www.catchat.org/index.php/cat-rescue-centres-borders-scotland
Bristol / Avon,"PO Box 530, Weston-super-Mare, North Somerset, BS23 8TX. General enquiries, ferals & neutering",01278 782671,info@bridgeanimalrescue.com,-2.9859988,51.3535315,www.rspcanorthsomerset.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-bristol-avon
Buckinghamshire,"TVAW, PO Box 3139, Reading, RG1 9FQ.",07873 318184 (,info@alleycatsrescue.co.uk,-0.9634222000000001,51.45326439999999,www.traviscatrescue.com,https://www.catchat.org/index.php/cat-rescue-centres-buckinghamshire
Cambridgeshire,,0300 303 9333,admin@mogsndogs.org.uk,,,www.woodgreen.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-cambridgeshire
Central (Scotland),,07845 119299,admin@catactiontrust.co.uk,,,www.scottishspca.org,https://www.catchat.org/index.php/cat-rescue-centres-central-scotland
Ceredigion (Wales),,07831 269183,rehoming@animalrescuecymru.co.uk,,,www.rspca.org.uk/local/ceredigion-branch,https://www.catchat.org/index.php/cat-rescue-centres-ceredigion-wales
Channel Islands,"3 Rosedale Avenue, La Route de la Haule, St Lawrence, JE3 1LB",07399 595954,cat77jersey@gmail.com,-2.1541177,49.1969757,www.poundpuppy.org/cats.php,https://www.catchat.org/index.php/cat-rescue-centres-channel-islands
Cheshire,"PO Box 127, Manchester, M29 2AT",01625 422246,alsager.animals@gmail.com,-2.2426305,53.4807593,www.windyway.org,https://www.catchat.org/index.php/cat-rescue-centres-cheshire
Connacht (Ireland),"PO Box No 10, Castlerea. Co Roscommon.",087 050 5594 (,ainmhithe@gmail.com,-8.4822313,53.7618969,www.roscommonspca.ie,https://www.catchat.org/index.php/cat-rescue-centres-ireland-connacht
Cornwall,"Sandy Lane, Redruth, Cornwall, TR16 5SR",01736 762 191,devon@bluecross.org.uk,-5.2178165,50.2325805,www.sallyscatrescue.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-cornwall
County Durham,"5a, Ashfield Terrace, CHESTER LE STREET, DH3 3PD.",07396 738565,animalkrackerscharity@gmail.com,-1.5729289,54.8518172,www.westgateark.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-durham
Cumbria,"207 Rawlinson Street, Barrow-in-Furness, Cumbria, LA14 1ED .",01539 736307,contact@animalconcerncumbria.org,-3.2224599,54.1140981,www.rspca-westmorland.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-cumbria
Derbyshire,,07941 806536,eightlives@outlook.com,,,www.woodlandnookcatrescue.com,https://www.catchat.org/index.php/cat-rescue-centres-derbyshire
Devon,"11 Courtenay, Honiton, EX14 1RQ",01752 347503,info@animalsindistress.uk.com,-3.2008985,50.7940242,www.woodsidesanctuary.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-devon
Dorset,"Margaret Green Animal Rescue, Church Knowle, Wareham, Dorset, BH20 5NQ. Open weekends 11am until 3pm.",07746 559043,ask@cwwrescue.org,-2.0904586,50.6351203,www.westdorsetrspca.org,https://www.catchat.org/index.php/cat-rescue-centres-dorset
Dumfries & Galloway,"Millview, No. 4 Holding, Mainholm, Ayr, KA6 5HD. Open 1pm - 4pm, daily.",,enquiries@eskdale.cats.org.uk,-4.5829623,55.4598813,www.scottishspca.org,https://www.catchat.org/index.php/cat-rescue-centres-dumfries-galloway
Durham,"5a, Ashfield Terrace, CHESTER LE STREET, DH3 3PD.",07396 738565,animalkrackerscharity@gmail.com,-1.5729289,54.8518172,www.westgateark.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-durham
Edinburgh,"3 Casselbank Street, Edinburgh, EH6 5HA",0300 330 1412,admin@catactiontrust.co.uk,-3.1735536,55.9701846,www.sunnyharbour.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-lothian-scotland
Essex,"145, Chase Side, Enfield, North London, EN2 0PN.",01708 220168,abcatrescue@btconnect.com,-0.087341,51.6597314,www.toebeanscatrescue.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-essex
Fife (Scotland),"Inverness Cat Rescue, 37 Creag Dhubh Terrace, Kinmylies, Inverness, IV3 8QG.",01337 840414,Info@FifeCatShelter.org,-4.2576849,57.4748238,www.whinnybank.org.uk,https://www.catchat.org/index.php/cat-rescue-centres-fife-scotland
Glasgow,"Cats Protection Glasgow Branch, PO Box 2905, Glasgow, G64 9DJ",07817 646427,admin@catactiontrust.co.uk,-4.2164533,55.9195258,www.scottishspca.org/rehome/our-centres/lanarkshire,https://www.catchat.org/index.php/cat-rescue-centres-strathclyde-scotland
Gloucestershire,,01452 740300,enquiries@5valleycatrescue.org,,,www.teckelsanimalsanctuaries.co.uk,https://www.catchat.org/index.php/cat-rescue-centres-gloucestershire
